Indentifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Invoice Number,Supplier Name,Transparency Invoice Amount
Apr. Transparency 758,27/04/2021,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,138145,REED IN PARTNERSHIP LTD,"£30,102"
Apr. Transparency 759,26/04/2021,DIG SERVICES & SOFTWARE - WORKING AGE DEL P,EXP - PURCHASE OF GOODS/SERVICES - COST VARIANCE ACCOUNT,3003504214,ACCENTURE UK LTD,"£30,081"
Apr. Transparency 760,07/04/2021,DIG MS OFFICE SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-APP3-07A,UBDS IT CONSULTING LTD,"£29,761"
Apr. Transparency 761,29/04/2021,DIG TECH SERVICES SERVICES IN LIEU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504234,ACCENTURE UK LTD,"£29,513"
Apr. Transparency 762,09/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,128706,WATES CONSTRUCTION LTD,"£29,504"
Apr. Transparency 763,14/04/2021,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,402110592,KANTAR UK,"£29,425"
Apr. Transparency 764,22/04/2021,OPS WDC WSD CE STAFFORDSHIRE AND DERBYSHIRE E AND P,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000000096,RECRO CONSULTING LTD,"£29,295"
Apr. Transparency 765,15/04/2021,DIG DATA ASSET MANAGEMENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,3882986569,COMPUTACENTER UK LTD,"£29,271"
Apr. Transparency 766,14/04/2021,OPS WDC WSD SE DEVON CORNWALL & SOMERSET DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,INV-0061,REAL IDEAS ORGANISATION,"£29,000"
Apr. Transparency 767,14/04/2021,OPS WDC WSD SE DEVON CORNWALL & SOMERSET DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,INV-0062,REAL IDEAS ORGANISATION,"£29,000"
Apr. Transparency 768,07/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,13S18P02546/CL/20Q04/16,WISBECH CLLD ESF,"£28,938"
Apr. Transparency 769,15/04/2021,DIG ACCESSIBILITY SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3980042324,COMPUTACENTER UK LTD,"£28,938"
Apr. Transparency 770,08/04/2021,DIG PLATFORMS FRAUD & ERROR REFRESH SPEND,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,3882986571,COMPUTACENTER UK LTD,"£28,924"
Apr. Transparency 771,30/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,25S16C00949/CL/20Q03/27,DEPARTMENT FOR WORK & PENSIONS,"£28,677"
Apr. Transparency 772,26/04/2021,DIG CARERS POC - CARERS PATHFINDER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504226,ACCENTURE UK LTD,"£28,584"
Apr. Transparency 773,26/04/2021,DIG TECHNOLOGY ASSET MANAGEMENT PROJECTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504228,ACCENTURE UK LTD,"£28,560"
Apr. Transparency 774,14/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,3780119737,COMPUTACENTER UK LTD,"£28,500"
Apr. Transparency 775,27/04/2021,OPS WDC WSD NE WEST YORKSHIRE DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000001454,STANDGUIDE LTD,"£28,469"
Apr. Transparency 776,29/04/2021,FG FIN CONT SHARED SERVICES CHANGE REQUESTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ACCOUNTING,100022641,SHARED SERVICES CONNECTED LTD,"£28,455"
Apr. Transparency 777,12/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,32S16C00946/CL/20Q02/26,DEPARTMENT FOR WORK & PENSIONS,"£28,372"
Apr. Transparency 778,21/04/2021,DIG WORKPLACE COMPUTING SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,3882988636,COMPUTACENTER UK LTD,"£28,343"
Apr. Transparency 779,20/04/2021,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,5804210369,IBM UK LTD,"£28,035"
Apr. Transparency 780,14/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT,TCM6806,MCBAINS LTD,"£28,025"
Apr. Transparency 781,30/04/2021,STR WORK & HEALTH JOINT UNIT,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,100050LR,NORTH EAST LEP,"£27,834"
Apr. Transparency 782,22/04/2021,OPS WDC WSD NE SOUTH YORKSHIRE DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000001350,STANDGUIDE LTD,"£27,695"
Apr. Transparency 783,27/04/2021,FG SPC SECURITY CULTURE EDUCATION AWARENESS,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,2600110273349,CAPGEMINI UK PLC,"£27,485"
Apr. Transparency 784,08/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - OFFICE CLEANING,FACMI051728,MITIE FM LTD,"£27,411"
Apr. Transparency 785,22/04/2021,DIG PUBLIC CLOUD DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,3882986568,COMPUTACENTER UK LTD,"£27,249"
Apr. Transparency 786,01/04/2021,DIG MAINTENANCE - WORKING AGE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ARBK/00008337,ADVANCED 365 LTD,"£27,225"
Apr. Transparency 787,28/04/2021,DIG MAINTENANCE - WORKING AGE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,ARBK/00008399,ADVANCED 365 LTD,"£27,225"
Apr. Transparency 788,29/04/2021,DIG TECH PLATFORM CIS BAU,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,IGBSA74832,MICRO FOCUS SOFTWARE UK LTD,"£27,121"
Apr. Transparency 789,16/04/2021,CHG ETSE R3,EXP - RENTALS UNDER NON-PFI OP LEASES - P&M - VEHICLES,3536013g,KINTO U K,"£27,064"
Apr. Transparency 790,26/04/2021,DIG CONTACT CENTRE MAINTENANCE NGCC2022 DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,5804210718,IBM UK LTD,"£27,027"
Apr. Transparency 791,27/04/2021,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,08S20P04148/CL/19Q04/04,THE D2N2 ESF TECHNICAL ASSISTANCE PROGRAMME PHASE 2,"£26,967"
Apr. Transparency 792,20/04/2021,FG CD ESTATES TOM DEL A,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION & BLDNG MANAGEMENT - BUILDING SERVICE CHARGES,9900591493,SODEXO LTD,"£26,943"
Apr. Transparency 793,14/04/2021,OPS WDC WSD NE DURHAM AND TEES VALLEY DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000000395,THE JUNCTION 42 FOUNDATION,"£26,620"
Apr. Transparency 794,26/04/2021,DIG TRANSFORMATION ECSS CP AND IDV - DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,3003504231,ACCENTURE UK LTD,"£26,502"
Apr. Transparency 795,22/04/2021,OPS WDC WSD NW CHESHIRE EXTERNAL RELATIONS TEAM,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000000452,SKILLSMAX LTD,"£26,390"
Apr. Transparency 796,27/04/2021,FG SPC SECURITY CULTURE EDUCATION AWARENESS,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,2600110270314,CAPGEMINI UK PLC,"£26,290"
Apr. Transparency 797,27/04/2021,FG SPC SECURITY CULTURE EDUCATION AWARENESS,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,2600110273365,CAPGEMINI UK PLC,"£26,290"
Apr. Transparency 798,06/04/2021,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV02865774,SOFTCAT PLC,"£26,280"
Apr. Transparency 799,29/04/2021,FG CRC ADVANCED PERSISTENT THREAT DETECTION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,GB014057669,CGI IT UK LTD,"£26,137"
Apr. Transparency 800,14/04/2021,HR OHS,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL - OCCUPATIONAL HEALTH SERVICE,99632,PAM GROUP,"£26,079"
Apr. Transparency 801,19/04/2021,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,30884A,VYSIION LTD,"£26,051"
Apr. Transparency 802,14/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,4800045271,ADOBE SYSTEMS SOFTWARE IRELAND LTD,"£26,038"
Apr. Transparency 803,26/04/2021,STR PRIVATE PENS DIRECTOR & SUPPORT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - GOV ACTUARYS,SINE/00000770,GOVERNMENT ACTUARYS DEPARTMENT GAD,"£25,959"
Apr. Transparency 804,14/04/2021,DIG DOCUMENT COLLABORATION SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-RMIG-6,UBDS IT CONSULTING LTD,"£25,915"
Apr. Transparency 805,15/04/2021,DIG DOCUMENT COLLABORATION SERVICE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DWP-RMIG6,UBDS IT CONSULTING LTD,"£25,914"
Apr. Transparency 806,29/04/2021,DIG ITLR SOFTWARE DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,3883008379,COMPUTACENTER UK LTD,"£25,895"
Apr. Transparency 807,01/04/2021,OPS WDC WSD SC SOUTH WEST SCOTLAND DO,EXP - CURRENT GRANTS - NPISH - LOCAL PARTNERSHIPS,SLC1002458921,SOUTH LANARKSHIRE COUNCIL,"£25,808"
Apr. Transparency 808,07/04/2021,"DIG STRATEGY, A & DESIGN STAFFING",EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,INV_30395,KIMCELL LTD T/A E MANGO,"£25,740"
Apr. Transparency 809,06/04/2021,FG CD OPS AND CMG ACQUISITIONS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,82610058342,G4S SECURE SOLUTIONS UK LTD,"£25,552"
Apr. Transparency 810,21/04/2021,FG CD ESTATES RESIDUAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,INV-1786,INCENDIUM CONSULTING LTD,"£25,530"
Apr. Transparency 812,07/04/2021,CHG UC DESIGN & BUILD PROGRAMME MANAGER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,2063,MDSEC CONSULTING LTD,"£25,200"
Apr. Transparency 813,30/04/2021,DIG DFCNI OGD,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING CONTACT CENTRES,564413,BT GLOBAL SERVICES,"£25,193"
Apr. Transparency 814,08/04/2021,FG CD ESTATES COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,LAR2184,MCBAINS LTD,"£25,188"
Apr. Transparency 815,06/04/2021,OPS WDC WSD LN NORTH LONDON DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000000020,COPE CONSULTANTS LTD,"£25,000"
Apr. Transparency 816,06/04/2021,OPS WDC WSD LN NORTH LONDON DISTRICT OFFICE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,0000000021,COPE CONSULTANTS LTD,"£25,000"
Apr. Transparency 817,14/04/2021,P&C DIVERSITY & INCLUSION,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,SINV20/00003114,CALICO ENTERPRISE LTD,"£25,000"
